Acidity,Aftertaste,Aroma,Balance,Body,C1,C2,Clean.Cup,Country,Cupper.Points,Flavor,Grading,Harvest,Moisture,Owner,Species,Sweetness,Total.Cup.Points,Uniform.Cup,Uniformity
7.75,7.5,8.5,7.83,7.5,0,1,10.0,Brazil,7.5,8.0,"December 3rd, 2011",2011,0.11,nucoffee,Arabica,10.0,84.58,,10.0
7.75,7.92,7.92,7.58,7.67,0,2,10.0,Costa Rica,8.0,7.67,"November 28th, 2017",2017 / 2018,0.1,max gurdian,Arabica,10.0,84.5,,10.0
7.75,7.67,7.92,7.75,7.83,0,1,10.0,Uganda,7.83,7.75,"March 14th, 2017",2016,0.11,ecom japan limited,Arabica,10.0,84.5,,10.0
7.83,7.67,7.75,7.67,7.75,0,1,10.0,China,7.92,7.92,"April 6th, 2016",2015,0.1,yunnan coffee exchange,Arabica,10.0,84.5,,10.0
7.83,7.83,7.92,7.58,7.58,0,0,10.0,Costa Rica,7.92,7.83,"July 6th, 2015",2014,0.11,fabian calderon mora,Arabica,10.0,84.5,,10.0
7.83,7.83,8.08,7.67,7.67,1,0,10.0,Colombia,7.75,7.67,"June 5th, 2015",2015/2016,0.12,federacion nacional de cafeteros,Arabica,10.0,84.5,,10.0
7.83,7.75,7.67,7.58,7.75,0,2,10.0,China,7.92,8.0,"June 16th, 2014",2013,0.0,eric wu,Arabica,10.0,84.5,,10.0
7.83,7.67,8.17,7.83,7.67,0,2,10.0,Guatemala,7.5,7.83,"February 26th, 2013",2013,0.11,juan luis alvarado romero,Arabica,10.0,84.5,,10.0
8.0,7.67,7.92,7.75,7.67,0,0,10.0,Kenya,7.67,7.83,"September 16th, 2012",2012,0.11,dream together,Arabica,10.0,84.5,,10.0
8.08,7.42,8.0,7.67,7.5,0,0,10.0,Mexico,7.92,7.92,"July 11th, 2012",2012,0.12,maria imelda uscanga martinez,Arabica,10.0,84.5,,10.0
7.75,7.75,7.92,7.83,7.75,0,4,10.0,Mexico,7.67,7.83,"June 6th, 2012",2012,0.11,alfredo bojalil,Arabica,10.0,84.5,,10.0
8.0,7.67,7.67,7.83,7.5,0,2,10.0,Guatemala,7.83,8.0,"February 16th, 2012",2012,0.11,juan luis alvarado romero,Arabica,10.0,84.5,,10.0
7.75,7.88,7.81,8.25,7.38,0,4,10.0,Brazil,8.13,7.81,"March 23rd, 2011",mmm,0.0,daniel friedlander,Arabica,10.0,84.5,,9.5
7.75,7.75,8.17,7.75,7.67,2,0,10.0,Brazil,7.75,7.67,"March 22nd, 2011",TEST,0.0,alexandra katona-carroll,Arabica,10.0,84.5,,10.0
8.0,7.83,7.58,7.58,7.67,0,3,10.0,Costa Rica,7.92,7.83,"March 23rd, 2017",2016,0.1,max gurdian,Arabica,10.0,84.42,,10.0
7.58,7.83,7.67,7.83,7.83,0,3,10.0,Indonesia,8.0,7.67,"March 14th, 2017",2017,0.0,aulia arif syahri,Arabica,10.0,84.42,,10.0
7.67,7.75,7.92,7.67,7.92,0,1,10.0,Colombia,7.67,7.83,"January 25th, 2016",2015/2016,0.0,carcafe ltda ci,Arabica,10.0,84.42,,10.0
7.92,7.67,7.92,7.75,7.67,0,3,10.0,Colombia,7.75,7.75,"July 9th, 2014",2014,0.0,racafe & cia s.c.a,Arabica,10.0,84.42,,10.0
8.0,7.75,7.83,7.75,7.5,0,0,10.0,Taiwan,7.75,7.83,"July 10th, 2013",2012,0.11,kao ming lee,Arabica,10.0,84.42,,10.0
7.83,7.5,7.92,7.92,7.5,0,1,10.0,United States (Hawaii),7.83,7.92,"January 21st, 2013",2012,0.11,kona pacific farmers cooperative,Arabica,10.0,84.42,,10.0
7.67,7.75,7.75,7.67,7.83,2,4,10.0,Mexico,7.83,7.92,"June 6th, 2012",2012,0.12,maria amalia guadalupe toriello elorza,Arabica,10.0,84.42,,10.0
7.92,7.83,7.5,7.75,7.92,0,2,10.0,Ethiopia,7.75,7.75,"June 17th, 2010",2009/2010,0.2,ethiopia commodity exchange,Arabica,10.0,84.42,,10.0
7.75,7.83,7.33,7.92,7.75,0,4,10.0,Kenya,8.17,7.58,"August 3rd, 2017",2017 / 2018,0.11,lydiah mwangi,Arabica,10.0,84.33,,10.0
7.67,7.75,7.92,7.75,7.67,0,3,10.0,Honduras,7.58,8.0,"May 11th, 2017",2016,0.1,bismarck castro,Arabica,10.0,84.33,,10.0
7.83,7.5,7.58,8.5,7.67,0,5,10.0,Colombia,7.5,7.75,"February 20th, 2017",2016,0.0,raúl vargas,Arabica,10.0,84.33,,10.0
7.75,7.58,7.58,7.75,7.92,0,2,10.0,Honduras,7.83,7.92,"April 4th, 2016",2016,0.11,bismarck castro,Arabica,10.0,84.33,,10.0
7.83,7.75,7.67,7.83,7.75,0,4,10.0,Colombia,7.83,7.67,"February 16th, 2016",2016,0.0,racafe & cia s.c.a,Arabica,10.0,84.33,,10.0
7.67,8.0,7.75,7.83,8.08,6,0,10.0,Colombia,7.33,7.67,"April 29th, 2015",2015,0.11,carcafe ltda ci,Arabica,10.0,84.33,,10.0
7.83,7.33,7.75,8.08,7.58,0,0,10.0,Colombia,8.17,7.58,"July 19th, 2013",2013,0.0,exportadora de cafe condor s.a,Arabica,10.0,84.33,,10.0
7.83,7.75,8.0,7.67,7.5,0,1,10.0,Mexico,7.83,7.75,"July 27th, 2012",2012,0.12,victor hugo melchor cordova,Arabica,10.0,84.33,,10.0
7.75,7.5,8.17,7.67,7.5,0,4,10.0,Brazil,7.75,8.0,"October 28th, 2011",2011,0.0,nucoffee,Arabica,10.0,84.33,,10.0
7.5,7.5,8.0,7.75,7.67,0,2,10.0,Brazil,7.92,8.0,"October 28th, 2011",2011,0.02,nucoffee,Arabica,10.0,84.33,,10.0
7.75,7.92,7.75,7.92,7.5,0,1,10.0,Ethiopia,7.75,7.75,"June 14th, 2011",,0.0,benjamin schmerler,Arabica,10.0,84.33,,10.0
7.67,7.75,7.5,7.92,7.92,1,1,10.0,Guatemala,7.92,7.67,"April 30th, 2010",December 2009-March 2010,0.04,the coffee source inc.,Arabica,10.0,84.33,,10.0
7.67,7.75,7.92,7.83,7.67,0,0,10.0,Taiwan,7.67,7.75,"August 10th, 2017",2016,0.12,"lin, che-hao krude 林哲豪",Arabica,10.0,84.25,,10.0
7.42,7.75,7.83,7.67,7.83,0,0,10.0,Thailand,8.0,7.75,"November 2nd, 2016",2015,0.12,松澤宏樹 koju matsuzawa,Arabica,10.0,84.25,,10.0
7.58,7.75,7.83,8.0,7.67,0,2,10.0,Colombia,7.83,7.58,"August 5th, 2016",2016,0.11,carcafe ltda ci,Arabica,10.0,84.25,,10.0
7.92,7.58,7.75,7.75,7.75,0,4,10.0,Guatemala,7.75,7.75,"May 23rd, 2016",2016,0.11,juan luis alvarado romero,Arabica,10.0,84.25,,10.0
8.08,7.5,7.75,7.67,7.58,0,1,10.0,Guatemala,7.75,7.92,"April 6th, 2016",2015,0.1,juan luis alvarado romero,Arabica,10.0,84.25,,10.0
7.75,7.58,7.83,7.75,7.75,0,1,10.0,China,7.75,7.83,"April 6th, 2016",2015,0.1,yunnan coffee exchange,Arabica,10.0,84.25,,10.0
7.75,7.75,7.67,7.92,7.67,0,3,10.0,Colombia,7.83,7.67,"November 19th, 2015",2015,0.11,racafe & cia s.c.a,Arabica,10.0,84.25,,10.0
7.58,7.75,7.83,7.75,7.92,4,2,10.0,Colombia,7.75,7.67,"October 26th, 2015",2015,0.12,racafe & cia s.c.a,Arabica,10.0,84.25,,10.0
7.58,7.83,7.83,7.75,7.67,0,0,10.0,Colombia,7.83,7.75,"June 5th, 2015",2015/2016,0.12,federacion nacional de cafeteros,Arabica,10.0,84.25,,10.0
7.75,7.83,7.42,7.83,7.92,3,0,10.0,Colombia,7.83,7.67,"April 29th, 2015",2015,0.12,carcafe ltda ci,Arabica,10.0,84.25,,10.0
7.83,7.75,7.83,7.67,7.67,0,7,10.0,"Tanzania, United Republic Of",7.83,7.67,"December 12th, 2014",2014,0.12,tembo coffee company ltd,Arabica,10.0,84.25,,10.0
7.75,7.75,7.83,7.75,7.67,0,2,10.0,"Tanzania, United Republic Of",7.75,7.75,"December 12th, 2014",2014,0.12,taylor winch (t) ltd,Arabica,10.0,84.25,,10.0
7.92,7.5,7.83,7.75,7.58,0,1,10.0,Guatemala,7.83,7.83,"August 21st, 2014",2014,0.1,juan luis alvarado romero,Arabica,10.0,84.25,,10.0
7.83,7.75,7.58,7.83,7.92,0,2,10.0,Colombia,7.83,7.5,"October 1st, 2013",2013,0.11,exportadora de cafe condor s.a,Arabica,10.0,84.25,,10.0
7.92,7.92,7.33,8.08,7.92,1,1,10.0,United States (Hawaii),7.83,7.92,"December 11th, 2012",2012,0.11,kona pacific farmers cooperative,Arabica,9.33,84.25,,10.0
7.83,7.67,7.83,7.75,7.5,0,1,10.0,Mexico,7.75,7.92,"September 11th, 2012",2012,0.12,jesus salazar velasco,Arabica,10.0,84.25,,10.0
7.67,7.75,7.83,7.58,7.83,0,0,10.0,Mexico,7.75,7.83,"April 9th, 2012",2012,0.12,manuel herrera juarez,Arabica,10.0,84.25,,10.0
7.75,7.67,7.83,7.75,7.5,0,4,10.0,Mexico,7.83,7.92,"April 2nd, 2012",2012,0.1,alfredo bojalil,Arabica,10.0,84.25,,10.0
7.67,7.58,8.17,7.58,7.83,4,29,10.0,Uganda,7.67,7.75,"February 13th, 2012",2012,0.13,afca,Arabica,10.0,84.25,,10.0
7.83,7.58,7.75,7.75,7.67,0,1,10.0,Guatemala,7.75,7.83,"June 1st, 2017",2017,0.13,juan luis alvarado romero,Arabica,10.0,84.17,,10.0
7.67,7.58,7.83,7.83,7.75,0,2,10.0,Colombia,7.75,7.75,"August 19th, 2016",2016,0.0,racafe & cia s.c.a,Arabica,10.0,84.17,,10.0
7.67,7.67,7.92,7.67,7.5,0,2,10.0,Costa Rica,8.0,7.75,"August 19th, 2016",2016,0.09,wayner jimenez,Arabica,10.0,84.17,,10.0
8.0,7.58,7.75,7.83,7.67,0,6,10.0,Guatemala,7.58,7.75,"June 23rd, 2016",2016,0.11,juan luis alvarado romero,Arabica,10.0,84.17,,10.0
7.92,7.58,7.75,7.67,7.67,0,10,10.0,Guatemala,7.67,7.92,"June 1st, 2016",2016,0.1,juan luis alvarado romero,Arabica,10.0,84.17,,10.0
7.83,7.58,7.58,7.67,7.83,0,2,10.0,Guatemala,7.83,7.83,"June 1st, 2016",2016,0.1,juan luis alvarado romero,Arabica,10.0,84.17,,10.0
7.67,7.5,8.0,7.83,8.0,0,0,10.0,Colombia,7.67,7.5,"August 18th, 2015",2015,0.0,racafe & cia s.c.a,Arabica,10.0,84.17,,10.0
7.5,7.83,7.67,7.83,7.67,0,0,10.0,Nicaragua,7.83,7.83,"August 3rd, 2015",2015,0.12,cooperativa el gorrion r.l,Arabica,10.0,84.17,,10.0
7.67,7.75,7.67,7.75,7.83,0,16,10.0,Brazil,7.75,7.75,"April 24th, 2015",2015,0.0,cafebras,Arabica,10.0,84.17,,10.0
7.75,7.67,7.67,8.0,7.5,0,0,10.0,Costa Rica,7.83,7.75,"April 10th, 2015",2014,0.0,"ceca, s.a.",Arabica,10.0,84.17,,10.0
7.83,7.58,7.5,7.83,7.75,0,5,10.0,Ethiopia,7.75,7.92,"March 26th, 2015",2014,0.1,asefa dukamo keroma,Arabica,10.0,84.17,,10.0
7.75,7.75,7.92,7.58,7.75,0,0,10.0,"Tanzania, United Republic Of",7.67,7.75,"December 12th, 2014",2014,0.13,selian coffee estate,Arabica,10.0,84.17,,10.0
7.42,7.67,7.67,8.58,7.83,0,4,10.0,Colombia,7.5,7.5,"October 15th, 2014",2014/2015,0.12,olam agro colombia,Arabica,10.0,84.17,,10.0
7.75,7.67,7.67,7.75,7.75,0,0,10.0,Guatemala,7.83,7.75,"July 16th, 2014",2013,0.11,chris finch,Arabica,10.0,84.17,,10.0
7.75,7.75,7.58,7.83,7.75,0,0,10.0,Kenya,7.75,7.75,"November 7th, 2013",2013,0.08,itochu corporation,Arabica,10.0,84.17,,10.0
7.67,7.75,7.58,8.0,7.67,0,3,10.0,Brazil,7.67,7.83,"May 20th, 2013",2012,0.11,owen carver,Arabica,10.0,84.17,,10.0
7.67,7.67,7.92,7.92,7.83,0,4,10.0,Guatemala,7.42,7.75,"May 9th, 2013",2013,0.11,juan luis alvarado romero,Arabica,10.0,84.17,,10.0
7.17,7.5,8.42,8.17,7.58,0,2,10.0,El Salvador,7.92,8.08,"March 18th, 2013",2013,0.11,atlantic specialty coffee,Arabica,10.0,84.17,,9.33
7.75,7.75,7.75,7.75,7.83,0,2,10.0,Colombia,7.58,7.75,"October 19th, 2012",2012,0.0,exportadora de cafe condor s.a,Arabica,10.0,84.17,,10.0
8.0,7.5,7.83,7.83,7.83,0,2,10.0,Guatemala,7.67,7.5,"March 26th, 2012",2012,0.11,juan luis alvarado romero,Arabica,10.0,84.17,,10.0
7.83,7.5,7.83,7.75,7.83,0,1,10.0,Uganda,7.67,7.75,"February 13th, 2012",2012,0.11,afca,Arabica,10.0,84.17,,10.0
7.75,7.56,7.81,7.75,7.63,0,0,10.0,Indonesia,7.75,7.88,"May 24th, 2017",2017,0.12,pt.royal pacific indah international,Arabica,10.0,84.13,,10.0
7.5,7.42,7.83,8.5,7.83,1,3,10.0,Colombia,7.5,7.5,"November 9th, 2017",2017 / 2018,0.0,carcafe ltda ci,Arabica,10.0,84.08,,10.0
7.67,7.67,7.58,7.83,7.75,0,4,10.0,Taiwan,7.92,7.67,"May 18th, 2016",2016,0.1,"lin, che-hao krude 林哲豪",Arabica,10.0,84.08,,10.0
7.58,7.5,8.0,7.67,7.92,0,4,10.0,Guatemala,7.67,7.75,"April 27th, 2016",2016,0.1,juan luis alvarado romero,Arabica,10.0,84.08,,10.0
7.75,7.67,7.92,7.67,7.67,0,2,10.0,Colombia,7.67,7.75,"November 5th, 2014",2014,0.0,racafe & cia s.c.a,Arabica,10.0,84.08,,10.0
8.0,7.67,7.58,7.67,7.75,0,10,10.0,Guatemala,7.67,7.75,"June 16th, 2014",2014,0.1,lusso lab,Arabica,10.0,84.08,,10.0
7.83,7.83,7.83,8.08,7.42,1,9,10.0,United States (Hawaii),8.0,7.75,"January 24th, 2013",2012,0.11,kona pacific farmers cooperative,Arabica,10.0,84.08,,9.33
7.75,7.67,7.67,7.75,7.67,1,10,10.0,Mexico,7.83,7.75,"September 4th, 2012",2012,0.11,andres martinez leon,Arabica,10.0,84.08,,10.0
8.0,7.83,7.92,7.92,7.92,0,15,10.0,Ethiopia,7.92,7.92,"August 17th, 2012",2012,0.09,steven kil,Arabica,8.67,84.08,,10.0
7.75,7.67,7.58,7.75,7.83,1,13,10.0,Costa Rica,7.67,7.75,"January 11th, 2018",2017,0.08,amanda powers,Arabica,10.0,84.0,,10.0
7.75,7.67,7.83,7.75,7.33,3,1,10.0,Ethiopia,7.92,7.75,"June 5th, 2017",2017,0.11,kyagalanyi coffee ltd,Arabica,10.0,84.0,,10.0
7.92,7.75,7.42,7.58,7.75,0,5,10.0,Honduras,7.75,7.83,"May 11th, 2017",2017,0.1,bismarck castro,Arabica,10.0,84.0,,10.0
7.92,7.58,7.67,7.67,7.75,0,7,10.0,Guatemala,7.58,7.83,"June 10th, 2015",2015,0.12,juan luis alvarado romero,Arabica,10.0,84.0,,10.0
7.58,7.83,7.67,7.83,7.58,2,7,10.0,Colombia,7.83,7.67,"December 18th, 2014",2014/2015,0.11,olam agro colombia,Arabica,10.0,84.0,,10.0
7.92,7.42,7.92,7.83,7.75,0,1,10.0,Guatemala,7.5,7.67,"August 8th, 2014",2014,0.1,juan luis alvarado romero,Arabica,10.0,84.0,,10.0
7.83,7.5,7.75,7.67,7.58,0,0,10.0,Guatemala,7.83,7.83,"June 27th, 2014",2014,0.1,juan luis alvarado romero,Arabica,10.0,84.0,,10.0
7.67,7.67,7.67,7.75,7.67,0,0,10.0,Colombia,7.83,7.75,"May 27th, 2014",2014,0.12,olam agro colombia,Arabica,10.0,84.0,,10.0
7.92,7.75,7.58,7.92,7.75,0,0,10.0,Colombia,7.67,7.42,"May 27th, 2014",2014,0.12,compañia colombiana agroindustrial s.a,Arabica,10.0,84.0,,10.0
7.5,7.5,7.67,7.67,7.67,0,3,10.0,Colombia,8.33,7.67,"April 8th, 2014",2014,0.12,racafe & cia s.c.a,Arabica,10.0,84.0,,10.0
7.58,7.5,7.75,7.92,7.67,4,40,10.0,Ethiopia,7.83,7.75,"January 17th, 2014",2013,0.09,lusso lab,Arabica,10.0,84.0,,10.0
7.25,7.67,7.58,7.75,8.0,0,0,10.0,Brazil,7.92,7.83,"January 2nd, 2014",2013/2014,0.1,ipanema coffees,Arabica,10.0,84.0,,10.0
7.75,7.67,7.67,7.75,7.67,0,1,10.0,Colombia,7.67,7.83,"June 21st, 2013",2013,0.11,exportadora de cafe condor s.a,Arabica,10.0,84.0,,10.0
7.75,7.5,7.67,7.67,7.92,0,2,10.0,Kenya,7.67,7.83,"March 8th, 2013",2012,0.0,ibero kenya limited,Arabica,10.0,84.0,,10.0
8.42,8.17,7.92,8.17,8.08,0,0,8.67,Thailand,8.42,8.17,"June 21st, 2012",2012,0.12,doi tung development project,Arabica,9.33,84.0,,8.67
7.75,7.67,7.67,7.67,7.83,0,0,10.0,Kenya,7.67,7.75,"May 31st, 2012",2012,0.0,taylor winch (coffee) ltd.,Arabica,10.0,84.0,,10.0
7.67,7.58,7.92,7.83,7.67,10,26,10.0,Uganda,7.58,7.75,"February 13th, 2012",2012,0.1,afca,Arabica,10.0,84.0,,10.0
7.75,7.58,7.58,7.75,7.58,0,0,10.0,Thailand,8.0,7.75,"August 16th, 2011",2011,0.06,doi tung development project,Arabica,10.0,84.0,,10.0
7.5,7.58,7.5,7.5,7.58,0,3,10.0,Brazil,8.5,7.75,"October 20th, 2017",2017 / 2018,0.0,ipanema coffees,Arabica,10.0,83.92,,10.0
7.92,7.58,7.83,7.5,7.42,0,5,10.0,Mexico,7.83,7.83,"July 3rd, 2017",2017,0.11,cafes tomari sa de cv,Arabica,10.0,83.92,,10.0
7.67,7.5,7.67,7.83,7.67,0,1,10.0,Thailand,7.83,7.75,"October 18th, 2016",2015,0.1,sarawut premjit,Arabica,10.0,83.92,,10.0
7.75,7.67,7.58,7.83,7.58,0,7,10.0,Brazil,7.83,7.67,"August 16th, 2016",2016,0.11,ipanema coffees,Arabica,10.0,83.92,,10.0
7.75,7.83,7.83,7.75,7.83,0,3,10.0,Taiwan,7.83,7.75,"May 18th, 2016",2015,0.11,"lin, che-hao krude 林哲豪",Arabica,10.0,83.92,,9.33
7.75,7.5,7.75,7.75,7.83,1,2,10.0,Colombia,7.67,7.67,"February 11th, 2016",2016,0.11,carcafe ltda ci,Arabica,10.0,83.92,,10.0
7.83,7.5,7.75,7.92,7.75,1,5,10.0,Colombia,7.58,7.58,"January 21st, 2016",2016,0.0,almacafe,Arabica,10.0,83.92,,10.0
7.75,7.58,7.75,7.67,7.75,0,0,10.0,Taiwan,7.67,7.75,"November 7th, 2015",2014,0.0,cqi taiwan icp cqi台灣合作夥伴,Arabica,10.0,83.92,,10.0
7.83,7.5,7.92,7.67,7.58,0,0,10.0,Colombia,7.75,7.67,"August 18th, 2015",2015,0.0,federacion nacional de cafeteros,Arabica,10.0,83.92,,10.0
7.58,7.58,7.83,7.75,7.75,1,1,10.0,Colombia,7.67,7.75,"March 12th, 2015",2014,0.0,federacion nacional de cafeteros,Arabica,10.0,83.92,,10.0
7.83,7.67,7.75,7.67,7.83,0,1,10.0,Colombia,7.58,7.58,"December 12th, 2014",2014,0.0,racafe & cia s.c.a,Arabica,10.0,83.92,,10.0
7.92,7.92,8.0,7.33,7.67,0,0,10.0,Taiwan,7.17,7.92,"November 23rd, 2014",2014,0.06,cqi taiwan icp cqi台灣合作夥伴,Arabica,10.0,83.92,,10.0
7.75,7.67,7.67,7.83,7.67,0,3,10.0,Colombia,7.5,7.83,"January 17th, 2014",2014,0.12,compañia colombiana agroindustrial s.a,Arabica,10.0,83.92,,10.0
7.67,7.58,7.67,7.83,7.75,10,32,10.0,Mexico,7.67,7.75,"July 3rd, 2012",2012,0.12,oscar ortega carballo,Arabica,10.0,83.92,,10.0
7.83,7.58,7.5,7.75,7.75,0,2,10.0,Mexico,7.83,7.67,"June 6th, 2012",2012,0.11,alfredo bojalil,Arabica,10.0,83.92,,10.0
7.92,7.83,7.75,7.67,7.75,0,2,10.0,Mexico,7.75,7.92,"April 2nd, 2012",2012,0.0,organizaciones de productores de cafe colimense,Arabica,10.0,83.92,,9.33
7.83,7.5,7.92,7.67,7.58,1,6,10.0,Colombia,7.75,7.58,"June 30th, 2017",2017,0.0,carcafe ltda ci,Arabica,10.0,83.83,,10.0
7.75,7.5,7.83,7.75,7.75,1,0,10.0,Colombia,7.58,7.67,"March 14th, 2017",2016,0.0,racafe & cia s.c.a,Arabica,10.0,83.83,,10.0
7.67,7.75,7.67,7.75,7.5,0,0,10.0,Costa Rica,7.83,7.67,"June 6th, 2016",2015,0.0,"ceca, s.a.",Arabica,10.0,83.83,,10.0
7.75,7.5,7.75,7.58,7.83,0,6,10.0,Guatemala,7.67,7.75,"May 23rd, 2016",2016,0.11,juan luis alvarado romero,Arabica,10.0,83.83,,10.0
7.75,7.5,7.75,7.67,7.75,0,0,10.0,Taiwan,7.75,7.67,"February 23rd, 2016",2016,0.0,cqi taiwan icp cqi台灣合作夥伴,Arabica,10.0,83.83,,10.0
8.0,7.42,7.25,7.83,7.75,0,0,10.0,Brazil,8.0,7.58,"October 8th, 2015",2015/2016,0.0,ipanema coffees,Arabica,10.0,83.83,,10.0
7.75,7.67,7.67,7.75,7.42,0,1,10.0,Taiwan,7.83,7.75,"April 30th, 2015",2014,0.0,"lin, che-hao krude 林哲豪",Arabica,10.0,83.83,,10.0
7.67,7.67,7.75,7.67,7.58,0,4,10.0,Ethiopia,7.75,7.75,"March 31st, 2015",2014,0.12,yasmin cofffee plantation plc,Arabica,10.0,83.83,,10.0
7.5,7.58,7.67,8.17,7.83,0,1,10.0,Brazil,8.08,7.67,"October 16th, 2014",2014/2015,0.0,ipanema coffees,Arabica,9.33,83.83,,10.0
7.83,7.5,7.83,7.83,7.75,0,3,10.0,Costa Rica,7.67,7.42,"June 9th, 2014",2013,0.1,eric thormaehlen,Arabica,10.0,83.83,,10.0
8.0,7.33,7.58,7.75,7.58,0,1,10.0,Guatemala,7.75,7.83,"May 22nd, 2014",2014,0.1,juan luis alvarado romero,Arabica,10.0,83.83,,10.0
7.67,7.33,7.92,7.5,8.17,0,0,10.0,Brazil,7.75,7.5,"December 26th, 2013",2013/2014,0.1,ipanema coffees,Arabica,10.0,83.83,,10.0
7.75,7.58,7.5,7.83,7.83,0,0,10.0,Ecuador,7.67,7.67,"October 4th, 2013",2013,0.09,garet alban,Arabica,10.0,83.83,,10.0
7.83,7.58,7.67,7.67,7.58,0,1,10.0,Colombia,7.92,7.58,"September 3rd, 2013",2013,0.11,exportadora de cafe condor s.a,Arabica,10.0,83.83,,10.0
7.83,7.5,7.5,7.67,7.83,0,3,10.0,Guatemala,7.67,7.83,"April 26th, 2013",2013,0.11,juan luis alvarado romero,Arabica,10.0,83.83,,10.0
7.42,7.67,7.67,7.5,7.67,0,2,10.0,Mexico,7.92,8.0,"July 26th, 2012",2012,0.1,filemon mendoza campos,Arabica,10.0,83.83,,10.0
7.75,7.5,7.67,7.75,7.75,0,4,10.0,Mexico,7.83,7.58,"June 6th, 2012",2012,0.11,alfredo bojalil,Arabica,10.0,83.83,,10.0
7.67,7.58,7.83,7.58,7.5,0,3,10.0,Brazil,7.83,7.83,"December 21st, 2011",2011/2012,0.12,jacques pereira carneiro,Arabica,10.0,83.83,,10.0
8.0,7.58,7.75,7.58,7.67,0,2,10.0,Thailand,7.5,7.75,"September 20th, 2011",2011,0.02,doi chaang coffee company,Arabica,10.0,83.83,,10.0
7.58,7.58,7.5,7.83,7.75,0,0,10.0,Thailand,7.75,7.83,"August 16th, 2011",2011,0.01,doi tung development project,Arabica,10.0,83.83,,10.0
8.0,7.58,7.58,7.5,7.83,0,3,10.0,Ethiopia,7.5,7.83,"June 17th, 2010",2010,0.1,ethiopia commodity exchange,Arabica,10.0,83.83,,10.0
7.58,7.5,7.75,7.75,7.75,0,2,10.0,Kenya,7.83,7.58,"January 11th, 2018",,0.11,kennedy macharia,Arabica,10.0,83.75,,10.0
7.75,7.58,7.67,7.67,7.67,0,5,10.0,Brazil,7.75,7.67,"October 20th, 2017",2017 / 2018,0.11,ipanema coffees,Arabica,10.0,83.75,,10.0
7.58,7.58,7.83,7.58,7.58,0,1,10.0,Colombia,7.75,7.83,"September 28th, 2017",2017,0.11,carcafe ltda ci,Arabica,10.0,83.75,,10.0
7.58,7.58,7.67,7.83,7.67,0,0,10.0,Taiwan,7.75,7.67,"June 6th, 2017",2016,0.0,"lin, che-hao krude 林哲豪",Arabica,10.0,83.75,,10.0
7.67,7.5,7.92,7.5,7.75,1,4,10.0,Colombia,7.67,7.75,"February 15th, 2017",2016,0.0,racafe & cia s.c.a,Arabica,10.0,83.75,,10.0
7.5,7.67,7.83,7.67,7.58,0,2,10.0,China,7.75,7.75,"April 6th, 2016",2015,0.1,yunnan coffee exchange,Arabica,10.0,83.75,,10.0
7.67,7.5,7.75,7.83,7.58,0,0,10.0,Colombia,7.75,7.67,"November 27th, 2015",2015/2016,0.0,carcafe ltda ci,Arabica,10.0,83.75,,10.0
7.75,7.58,8.0,7.5,7.33,0,0,10.0,Uganda,7.67,7.92,"June 30th, 2014",2013,0.12,nile highland arabica coffee farmers,Arabica,10.0,83.75,,10.0
7.67,7.83,7.83,8.17,8.0,0,1,9.33,United States (Puerto Rico),7.75,7.83,"June 9th, 2014",2013,0.12,german negron,Arabica,10.0,83.75,,9.33
7.92,7.67,7.67,7.67,7.5,0,5,10.0,Colombia,7.67,7.67,"February 5th, 2014",2014,0.0,racafe & cia s.c.a,Arabica,10.0,83.75,,10.0
7.42,7.42,7.67,8.33,8.0,0,3,10.0,Colombia,7.5,7.42,"January 24th, 2014",2014,0.0,olam agro colombia,Arabica,10.0,83.75,,10.0
7.67,7.75,7.58,7.67,7.67,0,1,10.0,Colombia,7.75,7.67,"November 22nd, 2013",2013,0.0,exportadora de cafe condor s.a,Arabica,10.0,83.75,,10.0
7.58,7.75,7.75,8.0,7.42,0,3,10.0,Colombia,7.58,7.67,"August 27th, 2013",2013,0.11,exportadora de cafe condor s.a,Arabica,10.0,83.75,,10.0
7.58,7.67,7.25,8.25,7.83,0,0,10.0,United States (Hawaii),7.75,7.42,"May 2nd, 2013",2013,0.0,kona pacific farmers cooperative,Arabica,10.0,83.75,,10.0
7.5,7.58,7.83,7.67,7.75,5,5,10.0,Mexico,7.83,7.58,"September 27th, 2012",2012,0.13,saul m. hernandez ramirez,Arabica,10.0,83.75,,10.0
7.67,7.58,7.67,7.75,7.75,0,1,10.0,Guatemala,7.75,7.58,"May 24th, 2012",2012,0.11,the coffee source inc.,Arabica,10.0,83.75,,10.0
7.33,7.58,7.83,7.67,7.42,0,1,10.0,Colombia,8.08,7.83,"April 20th, 2011",January 2011,0.1,carcafe ltda ci,Arabica,10.0,83.75,,10.0
7.25,7.25,7.75,8.5,7.58,0,1,10.0,Colombia,7.75,7.67,"February 9th, 2011",4T/10,0.06,exportadora de cafe condor s.a,Arabica,10.0,83.75,,10.0
7.67,7.75,7.83,7.5,7.58,0,0,10.0,United States (Hawaii),7.75,7.67,"June 29th, 2010",,0.0,kona pacific farmers cooperative,Arabica,10.0,83.75,,10.0
7.67,7.5,7.67,7.5,7.67,0,2,10.0,Brazil,7.83,7.83,"October 20th, 2017",2017 / 2018,0.11,ipanema coffees,Arabica,10.0,83.67,,10.0
